S.no,City,Industry,Business Name,Location,Google Ratings,Email,Website ,Phone Number,"Call for (ERP,Website, AI Solutions)",Call date and time,Remarks,Source_File,hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,Jn12ke src,ah5Ghc,W4Efsd 7,Unnamed: 18,Unnamed: 19
17,Ghaziabad,Automotive,"Car Concept – Car Accessories Shop, Ghaziabad","Uttar Pradesh, India",4.8,,,092679 91819,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
18,Ghaziabad,Automotive,Tata Motors Commercial Showroom - Ashok Auto Ghaziabad,"Uttar Pradesh, India",4.2,,https://www.ashokauto.com/,0562 429 9999,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
19,Ghaziabad,Automotive,Vikrant Automobiles,"Uttar Pradesh, India",4.3,,,099716 00255,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
20,Ghaziabad,Automotive,Master Automotive Components,"Uttar Pradesh, India",5,,,0120 280 4058,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
21,Ghaziabad,Manufacturer,Mohan Industries,"Uttar Pradesh, India",4.7,,http://www.mohanindustries.co.in/,077038 05609,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
22,Ghaziabad,Manufacturer,Sawhney Engineering Co.,"Uttar Pradesh, India",4.9,,https://www.sawhneyengineering.com/,098108 77174,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
23,Ghaziabad,Manufacturer,Ghaziabad Mechfab Private Limited,"Uttar Pradesh, India",4.8,,http://www.gmfpeb.com/,097160 32087,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
24,Ghaziabad,Manufacturer,Goodluck India Limited,"Uttar Pradesh, India",4.2,,https://www.goodluckindia.com/,0120 419 6600,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
25,Ghaziabad,Manufacturer,"V K INDUSTRIES E-34, South Side GT Road Ind. Area, GHAZIABAD","Uttar Pradesh, India",4.3,,http://vkindustrie.in/,093507 46536,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
26,Ghaziabad,Manufacturer,Prime Industries Mohan Nagar,"Uttar Pradesh, India",4.5,,http://primeindus.in/,098101 50534,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
27,Ghaziabad,Auto parts manufacturer,PRAGATI iNDUSTRIES,"Uttar Pradesh, India",4.6,,https://pragatiindustriesindia.com/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
28,Ghaziabad,Manufacturer,Adhunik Automation India,"Uttar Pradesh, India",4.8,,http://www.adhunik.co/,0120 426 7438,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
29,Ghaziabad,Glass manufacturer,Birkan Engineering Industries Pvt Ltd,"Uttar Pradesh, India",4.6,,https://www.birkansolar.in/,099993 87854,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
30,Ghaziabad,FMCG Manufacturer,International Tobacco Company Limited,"Uttar Pradesh, India",3.9,,,0120 278 8235,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
31,Ghaziabad,Machining manufacturer,Adarsh & Company,"Uttar Pradesh, India",4.9,,,098187 02622,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
32,Ghaziabad,Manufacturer,Kasuya Gpp Auto Products ( A Unit of Ghaziabad Precision Products Pvt Ltd.),"Uttar Pradesh, India",4.1,,http://www.gpp-india.com/,0120 401 5300,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
33,Ghaziabad,Packaging company,Vinayak Industries,"Uttar Pradesh, India",4.8,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
34,Ghaziabad,Manufacturer,Aleph Industries (INDIA) Private Limited,"Uttar Pradesh, India",4.7,,https://www.alephplus.in/,098106 04514,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
35,Ghaziabad,Machining manufacturer,Preet Brothers Limited | Long & Flat Product Rolling Mill Division | A Preet Enterprise,"Uttar Pradesh, India",4.4,,http://www.preetgroup.com/,098189 11116,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
36,Ghaziabad,Pharmaceutical company,Unichem Laboratories Limited,"Uttar Pradesh, India",4.2,,http://www.unichemlabs.com/,0120 275 0039,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
37,Ghaziabad,Manufacturer,AA MANUFACTURING COMPANY,"Uttar Pradesh, India",4.7,,http://aamanufacturing.in/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
38,Ghaziabad,Manufacturer,"Engko Engineering Company Ghaziabad- Puf Panel, Pre-engineered Building, Warehouse Manufacturers & Industrial Shed","Uttar Pradesh, India",5,,https://www.engko.co.in/,096679 86005,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
39,Ghaziabad,Manufacturer,Evion Industries Private Limited,"Uttar Pradesh, India",5,,https://www.reflectivesafetyjacket.in/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
40,Ghaziabad,Manufacturer,KS PRECISION COMPONENTS PVT LTD,"Uttar Pradesh, India",4.1,,http://www.ksprecision.com/about-us.html,0120 482 1800,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
41,Ghaziabad,Electronics manufacturer,Shourya Electronics,"Uttar Pradesh, India",4.3,,http://shouryaelectronics.com/,080767 83516,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
42,Ghaziabad,Pipe Manufacturer,Dadu Pipes Corporate Office,"Uttar Pradesh, India",4.4,,https://dadupipes.com/,093119 90457,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
43,Ghaziabad,Manufacturer,Sapphire Engineering Company,"Uttar Pradesh, India",5,,,098911 19366,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
44,Ghaziabad,Manufacturer,CPM Systems Pvt. Ltd - Office Furniture Manufacturers & Modular Furniture,"Uttar Pradesh, India",4.8,,https://www.cpmsystems.in/,092929 28080,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
45,Ghaziabad,Barrel supplier,Vikrant Manufacturing Private Limited,"Uttar Pradesh, India",5,,http://www.neerajpaints.com/,092120 62894,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
46,Ghaziabad,Steel industry,Asha Steel Corporation,"Uttar Pradesh, India",4.5,,https://www.ashasteelcorporation.com/,085880 45915,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
47,Ghaziabad,Manufacturer,Shyam Heat Exchanger Manufacturers Delhi India,"Uttar Pradesh, India",4.9,,http://shyamheatexchanger.co.in/,094265 51764,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
48,Ghaziabad,Manufacturer,SHAKTI AUTO INDUSTRIES,"Uttar Pradesh, India",4.9,,https://www.ascotindia.com/,099589 10022,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
49,Ghaziabad,Manufacturer,Spark Engineering Private Limited,"Uttar Pradesh, India",4.3,,http://www.sparkeng.in/,0120 408 9000,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
50,Ghaziabad,Distillery,SATNAM INDUSTRIES | Distillery plant | Bottling plant | Pot Still Distillation plants | SS Tanks| Sparkler Filter,"Uttar Pradesh, India",5,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
51,Ghaziabad,Manufacturer,Ronak Industries,"Uttar Pradesh, India",5,,http://www.ronakindustries.net/,080 4730 0657,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
52,Ghaziabad,Manufacturer,ELIMAX GEARS.GEARBOX MANUFACTURERS IN GHAZIABAD,"Uttar Pradesh, India",4.6,,,099970 44692,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
53,Ghaziabad,Manufacturer,SINGH AUTO INDUSTRIES,"Uttar Pradesh, India",5,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
54,Ghaziabad,Manufacturer,RST Electricals Pvt Ltd,"Uttar Pradesh, India",4.3,,,099999 92633,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
55,Ghaziabad,FMCG Manufacturer,Anmol Industries Limited - Ghaziabad Unit,"Uttar Pradesh, India",4.3,,http://www.anmolindustries.com/,0120 429 0204,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
56,Ghaziabad,FMCG Manufacturer,International Tobacco Company Limited,"Uttar Pradesh, India",3.9,,,0120 278 8235,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
57,Ghaziabad,FMCG Manufacturer,Lazy Foods Private Limited,"Uttar Pradesh, India",5,,https://www.snackifyfoods.in/,090191 61991,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
58,Ghaziabad,FMCG Manufacturer,HARNIT INDUSTRIES,"Uttar Pradesh, India",4.5,,,070111 50089,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
59,Ghaziabad,FMCG Manufacturer,Festee,"Uttar Pradesh, India",5,,https://festee.in/,098219 33944,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
60,Ghaziabad,FMCG Manufacturer,Swastickshopmart,"Uttar Pradesh, India",4.8,,https://wa.me/c/919643014866,078278 84600,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
61,Ghaziabad,FMCG Manufacturer,Maayka Foods,"Uttar Pradesh, India",4.3,,,085959 71550,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
62,Ghaziabad,FMCG Manufacturer,Trilok Foods Private Limited,"Uttar Pradesh, India",4.3,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
63,Ghaziabad,FMCG Manufacturer,BRAND KING CONSUMER GOODS,"Uttar Pradesh, India",5,,https://www.brandking.co.in/,070074 21400,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
64,Ghaziabad,FMCG Manufacturer,Satvik Enterprises,"Uttar Pradesh, India",5,,,092509 22970,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
65,Ghaziabad,FMCG Manufacturer,Ruchi Harvest (Singh Ruchi Harvest Private Limited),"Uttar Pradesh, India",5,,https://ruchiharvest.com/,084475 58441,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
66,Ghaziabad,FMCG Manufacturer,Joe Sugar,"Uttar Pradesh, India",5,,https://www.joe-sugar.com/,095601 97200,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
67,Ghaziabad,FMCG Goods Wholesaler,Preet Trading Company,"Uttar Pradesh, India",4.7,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
68,Ghaziabad,FMCG Goods Wholesaler,DURGA DISTRIBUTORS,"Uttar Pradesh, India",4.7,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
69,Ghaziabad,FMCG Goods Wholesaler,SHREYA TRADING COMPANY,"Uttar Pradesh, India",5,,,097185 62400,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
70,Ghaziabad,FMCG Goods Wholesaler,Sandheya Agency - FMCG Distributor,"Uttar Pradesh, India",5,,,098686 32757,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
71,Ghaziabad,FMCG Manufacturer,Sorich Organics Private Limited,"Uttar Pradesh, India",4.4,,https://www.sorichorganics.com/,073033 30675,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
72,Ghaziabad,FMCG Manufacturer,HARSH SPICES AND FOODS PVT LTD,"Uttar Pradesh, India",5,,https://www.harshspicesandfoods.com/,085058 12396,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
73,Ghaziabad,FMCG Manufacturer,Mehers pure mustard oil,"Uttar Pradesh, India",5,,,078189 85745,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
74,Ghaziabad,FMCG Goods Wholesaler,SHY Nutritions pvt ltd,"Uttar Pradesh, India",4.6,,https://www.shynutritions.com/,098913 55108,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
75,Ghaziabad,FMCG Goods Wholesaler,UpRising Distribution Co.,"Uttar Pradesh, India",4.9,,http://www.theuprising.in/,098996 99336,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
76,Ghaziabad,FMCG Goods Wholesaler,Shri Shyam Traders Loni,"Uttar Pradesh, India",5,,,097110 79021,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
77,Ghaziabad,FMCG Manufacturer,City Cola,"Uttar Pradesh, India",4.8,,,093505 81642,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
78,Ghaziabad,FMCG Manufacturer,Savanik Enterprises,"Uttar Pradesh, India",5,,,0120 418 4462,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
79,Ghaziabad,Corporate office,Dabur India Limited Corporate Office,"Uttar Pradesh, India",4.3,,https://www.dabur.com/contact-information,0120 396 2100,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
80,Ghaziabad,FMCG Goods Wholesaler,Rajat Trading Company Working Unit,"Uttar Pradesh, India",5,,,093110 09801,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
81,Ghaziabad,FMCG Manufacturer,SVARNIM ORGANIC OILS,"Uttar Pradesh, India",5,,http://www.svarnimfarms.com/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
82,Ghaziabad,FMCG Goods Wholesaler,Kanishka Enterprises,"Uttar Pradesh, India",4.7,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
83,Ghaziabad,FMCG Manufacturer,NKB SPICES,"Uttar Pradesh, India",4.7,,https://nkbspices.com/,082186 94993,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
84,Ghaziabad,FMCG Goods Wholesaler,Sanjay Trading Co.,"Uttar Pradesh, India",3.8,,https://www.dryfruitboxes.com/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
85,Ghaziabad,FMCG Manufacturer,UMANI INDUSTRIES EXPORT,"Uttar Pradesh, India",5,,https://www.chamcham.co.in/,098115 05845,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
86,Ghaziabad,FMCG Manufacturer,Hyperworld Retail Private Limited,"Uttar Pradesh, India",5,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
87,Ghaziabad,Food products supplier,Tirupati enterprises,"Uttar Pradesh, India",4.5,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
88,Ghaziabad,FMCG Manufacturer,Royal Bee Natural Products Pvt Ltd.,"Uttar Pradesh, India",4.8,,https://www.royalbeehoney.com/,088006 60423,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
89,Ghaziabad,FMCG Goods Wholesaler,Bluora FMCG,"Uttar Pradesh, India",,,https://www.bluorafmcg.com/,098186 10979,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
90,Ghaziabad,FMCG Manufacturer,Supplyrix Consumer Products Private Limited,"Uttar Pradesh, India",5,,https://supplyrix.com/,078274 86729,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
91,Ghaziabad,FMCG Manufacturer,ASSK Enterprises,"Uttar Pradesh, India",5,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
92,Ghaziabad,FMCG Goods Wholesaler,aditi agri solutions pvt ltd,"Uttar Pradesh, India",5,,,098711 62447,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
93,Ghaziabad,FMCG Manufacturer,Zenvika,"Uttar Pradesh, India",5,,https://www.zenvika.in/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
94,Ghaziabad,FMCG Manufacturer,Tango Masale,"Uttar Pradesh, India",5,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
95,Ghaziabad,FMCG Goods Wholesaler,Health Hunt,"Uttar Pradesh, India",5,,,098111 40222,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
96,Ghaziabad,FMCG Goods Wholesaler,Blue Ridge,"Uttar Pradesh, India",5,,https://blueridge-steelfab.com/,0120 473 2366,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
97,Ghaziabad,Food products supplier,BONANZA ENTERPRISES,"Uttar Pradesh, India",5,,,099105 01958,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
98,Ghaziabad,Warehouse,NASA Marketing Solutions Pvt Ltd (CFA and Super Stockist),"Uttar Pradesh, India",4.6,,http://www.nasamarketing.com/,099100 83679,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
99,Ghaziabad,FMCG Manufacturer,KTC PRODUCTS LLP,"Uttar Pradesh, India",4.5,,http://www.ktcproducts.com/,097114 41119,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
100,Ghaziabad,FMCG Manufacturer,Caraway,"Uttar Pradesh, India",,,https://www.caraway.in/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
101,Ghaziabad,Household chemicals supplier,Housekeeping material wholesaler: industrial chemical supplier M.G. Enterprises,"Uttar Pradesh, India",4.8,,,097163 38078,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
102,Ghaziabad,FMCG Manufacturer,G&A Organic Pvt Ltd,"Uttar Pradesh, India",5,,https://www.organicchakki.in/,099107 70398,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
103,Ghaziabad,FMCG Goods Wholesaler,Gupta Traders,"Uttar Pradesh, India",4.8,,,098106 61713,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
104,Ghaziabad,FMCG Goods Wholesaler,Anand Agencies,"Uttar Pradesh, India",3.7,,,098910 39999,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
105,Ghaziabad,FMCG Goods Wholesaler,Shree Ji Enterprises,"Uttar Pradesh, India",5,,,078385 83678,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
106,Ghaziabad,FMCG Manufacturer,Bee Bliss Honey,"Uttar Pradesh, India",,,https://www.beebliss.co.in/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
107,Ghaziabad,Manufacturer,Rakesh Masala Pvt Ltd,"Uttar Pradesh, India",4.8,,https://www.rakeshgroup.com/,0120 489 8989,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
108,Ghaziabad,FMCG Manufacturer,Hypertrade Index Private Limited,"Uttar Pradesh, India",,,,099105 37143,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
109,Ghaziabad,FMCG Goods Wholesaler,AAA ENTERPRISES GHAZIABAD,"Uttar Pradesh, India",,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
110,Ghaziabad,FMCG Goods Wholesaler,Z&Z ENTERPRISES,"Uttar Pradesh, India",,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
111,Ghaziabad,FMCG Manufacturer,LINA COSMETICS,"Uttar Pradesh, India",5,,https://www.linacosmetics.in/,083768 28066,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
112,Ghaziabad,Manufacturer,Hari om oil mills,"Uttar Pradesh, India",5,,https://www.saraswatioil.in/,088004 86467,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
113,Ghaziabad,FMCG Goods Wholesaler,"R.J. & Sons Haldiram , Ds. Groups , Ferreo Rocher , KINDER JOY, Pansari","Uttar Pradesh, India",5,,,097160 05970,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
114,Ghaziabad,Pharmaceutical company,Unichem Laboratories Limited,"Uttar Pradesh, India",4.2,,http://www.unichemlabs.com/,0120 275 0039,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
115,Ghaziabad,Manufacturer,Surge living products OPC Pvt Ltd,"Uttar Pradesh, India",4.4,,https://surge-living-products.grexa.site/,098979 12393,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
116,Ghaziabad,FMCG Manufacturer,Kranti Soap Factory,"Uttar Pradesh, India",4,,,099535 60070,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
117,Ghaziabad,FMCG Manufacturer,ICELINGS,"Uttar Pradesh, India",5,,,093106 92320,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
118,Ghaziabad,FMCG Goods Wholesaler,GK TRADING,"Uttar Pradesh, India",,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
119,Ghaziabad,FMCG Goods Wholesaler,Dhama Amul Dairy ( paneer bhandar),"Uttar Pradesh, India",3,,,098998 94951,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
120,Ghaziabad,Food products supplier,P R MARKETING GHAZIABAD,"Uttar Pradesh, India",5,,http://www.prmarketinggroup.com/,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
121,Ghaziabad,FMCG Goods Wholesaler,Ranger Enterprises,"Uttar Pradesh, India",,,,093122 20330,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
122,Ghaziabad,FMCG Goods Wholesaler,Madhav Grocers,"Uttar Pradesh, India",,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
123,Ghaziabad,Manufacturer,Radhika Polymers - Pet Jars Manufacturer In Ghaziabad,"Uttar Pradesh, India",5,,https://radhikapolymers.in/,099991 05576,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
124,Ghaziabad,Tobacco supplier,M/S STERLING TOBACCO & DIVERSIFIED CONSUMER FMCG PRODUCTS LLP,"Uttar Pradesh, India",,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
125,Ghaziabad,FMCG Manufacturer,Benfenli Foods,"Uttar Pradesh, India",5,,https://chatleydigestives.com/,097100 00917,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
126,Ghaziabad,FMCG Manufacturer,Trishi Foods,"Uttar Pradesh, India",5,,https://the-trishi-outlet.mini.store/cart?key=nK4R6aSN,088511 78783,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
127,Ghaziabad,FMCG Goods Wholesaler,Millennium Food,"Uttar Pradesh, India",5,,https://mydukaan.io/millennium22,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
128,Ghaziabad,FMCG Goods Wholesaler,SHWETA BINDAL TRADING COMPANY,"Uttar Pradesh, India",4.3,,,,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
129,Ghaziabad,FMCG Manufacturer,LivLite Industries Private Limited,"Uttar Pradesh, India",5,,https://livlite.co.in/,090051 68881,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
130,Ghaziabad,Catering food and drink supplier,Shri Ventures,"Uttar Pradesh, India",4.6,,http://www.shriventures.in/,099101 04958,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
131,Ghaziabad,FMCG Goods Wholesaler,Jai shree ram traders,"Uttar Pradesh, India",,,,095607 70317,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
132,Ghaziabad,FMCG Goods Wholesaler,Sumit Payla General Store,"Uttar Pradesh, India",5,,,081939 77056,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
133,Ghaziabad,Packaging company,Soham Packaging Pvt. Ltd.,"Uttar Pradesh, India",4.5,,,0120 455 7901,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
134,Ghaziabad,FMCG Goods Wholesaler,Sampoorn Marketing,"Uttar Pradesh, India",3.8,,http://www.sampoornmarketing.com/,098119 13990,,,,Aaron_Leads,,,,,,,,,,,,,,,,,,,,,,
